"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","494949494949.495","No"
"0x7fd1de95fc975fbbd8be260525758549ec477960","37665419161.8673","No"
"0x91d630389f7c51fac68ab3d64eaa945ec76cd40d","1444177.8180292","No"
"0x49645a34eb8d7e3df7609aa4ccb74b1b494be5cc","3443098.46949528","No"
"0xd9ed88862f0ebec8750e0c34d5985a1b87e85ed9","677923.935871709","No"
"0xcb98923e740db68a341c5c30f375a34352272321","2388076.24930172","No"
"0x98f4db9a23f630fef0a4cc838d26aff3b291ed55","88198.287801523","No"
"0x5d0e71332c604bc599018a3fa04249be801fa102","22915889.2418591","No"
"0x61e0841d103d77325e7743d1ff7117efe7c2c9f6","2301069.92291347","No"
"0x5a2b016c641742fb97a75c0d4c22b2a637ddf4b6","335344.95936517","No"
"0x3146360820657d9989241a37633b19d2a763992a","584120.126642842","No"
"0xd57b95a9f40fe329120b3f8455ef621410904be2","3015.885119382","No"
"0xaa53e3d18dafa7b50ac3e25642d65d75e823006e","343922.083395408","No"
"0xddde18814f6f48187481a30cfa6d55dba1ba3d13","20285.401104906","No"
"0x27987189c23434bebc7fcad177cfd36fa0f0ae34","188720.823069136","No"
"0x861ee7e21a61b1b6274a5a84da009da1bfe6835d","5554684.82515975","No"
"0x42a92d6780c80ebfbaa7e75c32307729d6ec87b2","196072.870788388","No"
"0x947174ed842afe3e7246801f036709743f9ee994","13662847202.0245","No"
"0x809f3984afff7e35277060cdd34dbcbe55c6f180","347723.576291065","No"
"0xf015aad0d3d0c7468f5abeac1c50043de3e5cdda","3468686.82399909","No"
"0xe0f94903b58dfb0afb14109fac17e2c41ed78f47","898928.868527639","No"
"0xc697be0b5b82284391a878b226e2f9afc6b94710","2200099980.31951","No"
"0x977193d601b364f38ab1a832dbaef69ca7833992","500006296.878134","No"
"0xb74d5f0a81ce99ac1857133e489bc2b4954935ff","500318568.82389","No"
"0xfe3c8aa78d2b464483ec967a8c1b45a772a2ce82","124284.541176313","No"
"0x8d3445334edc6b0b3cef917f70bd82f3c5769797","426170614.860161","No"
"0x48616d15d66ba0385ac89ea94927a12ec21877ae","34719.977527503","No"
"0xaa5c36e3d8d3902301fffe87bdd0c3a7166c737f","817192.170009333","No"
"0x66ed7441465dacf123909ae15064a412c2ad2d08","3433868.44930516","No"
"0x7b19f21510b658c6424e635005f006900d547516","27882.165655865","No"
"0xb8ca31bf18085aa838e49792a6ef3e46270523c1","832882.225559225","No"
"0x358462f384fdf46bb4632a8814d68278439624d6","1390553.86802113","No"
"0x4ac5a17b758c3a3c93214e770e35c4367ecff8b6","10118.423232641","No"
"0x70bc96fd8b1e4264b138dcf2265dcdf749579590","4109024.88380013","No"
"0x2047d1a3d03722760b1eb4b4cdee392957d4f72d","119.87309777","No"
"0xe352aac86386bfd2d05e0cbcb1f5be5e3e9ab596","21712.890369894","No"
"0xdf0173fad0a06318479af7a51880fdc336aa9901","119340646.509914","No"
"0x7d339e56644104dcfa920a8bb21bb1d3a644dc87","1644248.90694018","No"
"0x9e5b5204751ef04a2029451515c9009bd01dcd4e","2936465095.40358","No"
"0x62d44f7540345de09b6b0ae6780dc151ef40b1d9","1566552104.77263","No"
"0xdc4697294b38a10c8f103d8ee19e4fefb637a77c","33978.971256649","No"
"0xc6e6dd6a0c61651d1bc055dc1c22418a729d41bb","1E-09","No"
"0x04c1f2cf48c98bf8ffb4bef94252d0992cf08361","161333004.970986","No"
"0x910bf2d50fa5e014fd06666f456182d4ab7c8bd2","1176818901.08118","No"
"0xbd39a0f84d7b455a5364538954ac933eda095c4c","46689.69172294","No"
"0x7868ceb3a8055656f8bdeb9451108b0245992934","38035.826490657","No"
"0xfa7e15dffa8c6b930523990af19a37a07c1888a5","117066701.794297","No"
"0x9b4e6a6f1576d413f9b020a226a9c2eb40ba6a0e","69654102.0729194","No"
"0x7d2b7bcd5ebe577c1ed1c0636d14c13b75f5a707","1500061004.28386","No"
"0x66aabbc630a265709ef0a6f9d694026543c19a14","54004.839917207","No"
"0x2e4ebc52ad387ba720ca175c6d355afc376954e6","1136061455.6745","No"
"0x5bde608982edb84cfeafaee11a0b537b30f7d23c","516645.683756087","No"
"0xe5cd73fa00a0a439295b04ef54071880aaa07f79","382310.598505228","No"
"0x016f515e8b2c19f052dbbd50c40d0d258edbc36d","1390.373808487","No"
"0x57dd7f7dec129f623eb9dda3acd900be2619200f","389344.461498729","No"
"0x170dd16d9f4a9072a722903fc9cd8525986a858d","4488.439988256","No"
"0x4ea257b9f84df300f2e5f3c4115f4aee220451d7","6.6E-08","No"
"0x39d855ed0ee00719387c37a8c26d6056e8582d3f","1993317.04253806","No"
"0x546c9209a6e2b6acc2e53d3b11e8115ba7396bd2","1435890.4946293","No"
"0xc6273dbc610fe3f032a509beb32830d40018182f","25224935.0896831","No"
"0x49768ccc323a415d57ce26f8aa120486c705a83f","50707.702707945","No"
"0xb279179b24737a988bcbca28db2e7daff733dc66","5546.221534045","No"
"0x5518f48d67ed9385c79340cab2eae9783c71288c","1152727475.46533","No"
"0x6a9b3e3d95ca45e39cdda9345de9c1e667a645f1","41126.929594319","No"
"0xf94b569cd29d700d37f72723184f9053906a9a7b","75227.878124177","No"
"0x9489271ddf36255363f763155929ed080d09b756","12748.078500601","No"
"0x233198440a1c7fb5d63093b2742c9dc8da11a894","100001807.201936","No"
"0x925b93b356a503a1b6430a501b2e49936f9265f8","947082.067307454","No"
"0x6576ab02fc1bbffb1dccd968bcc4c6f111b87e7a","6276359.22405402","No"
"0xcee66b14df899d5fd07019b38f66bebf0938f673","3941.326165965","No"
"0x7c5a77b5071a2ab9addea9d4ef143c459d152769","117981.334358158","No"
"0x01b3dfd8b2b5431fd1b09fc23a3c27e88776e7f8","81873.454548421","No"
"0x2f9dfbdc81575f67730e91026e6dfd69a4d5b508","204381037.73372","No"
"0x5c196b9c3aff2fded7ca2fa8f3576fb7a01ee9ef","11967.384568259","No"
"0x1c3ba0379542a0626b4b5fdc0bb988b1638b6a95","1378339.94363188","No"
"0x4a9d79b05f32da3ad917052f010cbf1c185139a1","16321.874528045","No"
"0x14d46f7a6d57073261f3beaa9e7f273843f9bca3","4209.208748181","No"
"0x2694b36a4db166457bc6311c16f3b9c6791c5a66","10660029147.2766","No"
"0x4587bdb1b0593dd8ea94168818bf7762b85d73da","14829.894059638","No"
"0x3953a612e28159fc3ef056fb7d3a78095d23af81","517266.688190482","No"
"0xd6f3b4ff1ff609a5db2adc768dd45bb6295c3ec5","328540549.065191","No"
"0x1f941812061fb1cb9484e38009072232f7bcd6d0","140328903.537795","No"
"0x106a468511fdd7b73fcd027f97b35a21972ef048","755.915608582","No"
"0x0b9b2e8c82f9a7e45dbede2971d567af8dbd0f21","274122.928939923","No"
"0xfa2e9fa79f787638a6906e6705a56579f2d69b40","737153617.062778","No"
"0x863b89bdaba9e6b60c94bf216a62995b2d2aeba0","441003969.035721","No"
"0xd4b3d494a59a155bcf91ebcf4b50d0a6f2baec8b","416243.973217557","No"
"0x0a1c55e70db7f2dbe1ee1d366f1a34c5a579735d","298800.691370748","No"
"0xe1fc37b900f36ff8551fee7cfa32cb7c6511707c","990.316788122","No"
"0xda4b5d7884f9e973d78ca365892d2a30f5f8ebd6","26145.341878065","No"
"0x6bda032b6f8b00c940df7e406411f45459fde0da","100060593.728655","No"
"0x1d8e9d8d83fb56d0be30a221f2a936b020379b74","23542.890924125","No"
"0x59906f80c0bbb49106a04555978f05d04a533b34","191978.36586484","No"
"0x8fe4d85105c1598b32df42a44276d648200494b9","16670383120.7146","No"
"0xaecd822abf8ee4676f4bf63991ea67762c894e74","63549.608562905","No"
"0x79f32564919899733b01f5bf485f67ab07277699","148045.953710665","No"
"0x53f496daaacf03c525c729af64005b5e50ca0d92","598039.987913219","No"
"0x71d6194d86b1f8534289ba34e0e53fb23af8deea","7227.229594992","No"
"0x85f3ad138a205f325e5725a850f410f9329d0990","48024.366126615","No"
"0xce7161c8b8b26bae723317b5c7d304b3adbb8c01","32054.2711047","No"
"0x4cb993c077c79e30e8adea290ef1c6af2423f601","205221370.144142","No"
"0xc25c4db2fe557581269607192cda125060854685","399033.835525029","No"
"0x3db9f0179f2a9fb546c3b732ef84ea727b68f62d","217960.022269831","No"
"0x97658d63067ed7022a025c1eb1c9ce3bfb35a126","619.953417013","No"
"0x80685aa3069498a047a2c26bad293a4cfbceae06","2260.941151703","No"
"0x77d9c51b7ef7bcc74f953e4bac101df4b0e99d53","12478016.7140122","No"
"0x0740d331cf48defa5a4c97697c4a5311b5a40f11","60539667.9858677","No"
